GRID_ID,N_Green,N_Grocery,N_Pharmacy,N_Transport
CI-48,CJ-49,CG-42,BS-45,BQ-41
AR-47,AQ-47,AT-48,BS-45,BQ-41
AS-47,AQ-47,AT-48,BS-45,BQ-41
AT-47,AQ-47,AT-48,BS-45,BQ-41
AU-47,AQ-47,AT-48,BS-45,BQ-41
AV-47,AQ-47,AT-48,BS-45,BQ-41
AW-47,BB-48,AY-46,BS-45,BQ-41
AX-47,BB-48,AY-46,BS-45,BQ-41
AY-47,BB-48,AZ-47,BS-45,BQ-41
BA-47,BB-48,AZ-47,BS-45,BQ-41
BB-47,BB-48,AZ-47,BS-45,BQ-41
BF-47,BF-48,BG-43,BS-45,BQ-41
BG-47,BF-48,BI-50,BS-45,BQ-41
BH-47,BF-48,BG-43,BS-45,BQ-41
BI-47,BF-48,BI-50,BS-45,BQ-41
BJ-47,BF-48,BL-45,BS-45,BQ-41
BK-47,BF-48,BL-45,BS-45,BQ-41
BL-47,BF-48,BL-45,BS-45,BQ-41
BM-47,BF-48,BO-48,BS-45,BQ-41
BN-47,BS-44,BO-48,BS-45,BQ-41
BO-47,BS-44,BO-48,BS-45,BQ-41
BP-47,BS-44,BO-48,BS-45,BQ-41
BQ-47,BT-46,BO-48,BS-45,BQ-41
BR-47,BT-46,BO-48,BS-45,BQ-41
BS-47,BT-46,BO-48,BS-45,BQ-41
BU-47,BV-47,BO-48,BS-45,BQ-41
CG-47,CF-48,CG-42,BS-45,BQ-41
CH-47,CG-46,CG-42,BS-45,BQ-41
CI-47,CJ-48,CG-42,BS-45,BQ-41
CJ-47,CJ-48,CG-42,BS-45,BQ-41
CK-47,CJ-48,CG-42,BS-45,BQ-41
CL-47,CL-48,CG-42,BS-45,BQ-41
AQ-46,AQ-47,AT-48,BS-45,BQ-41
AR-46,AQ-47,AT-48,BS-45,BQ-41
AS-46,AQ-47,AT-48,BS-45,BQ-41
AT-46,AQ-47,AT-48,BS-45,BQ-41
AU-46,AQ-47,AT-48,BS-45,BQ-41
AV-46,AQ-47,AU-43,BS-45,BQ-41
AW-46,BB-48,AY-46,BS-45,BQ-41
AX-46,BB-48,AY-46,BS-45,BQ-41
BA-46,BB-48,AZ-47,BS-45,BQ-41
BB-46,BB-48,AZ-46,BS-45,BQ-41
BC-46,BD-47,AZ-47,BS-45,BQ-41
BD-46,BD-47,AZ-46,BS-45,BQ-41
BF-46,BE-46,BG-43,BS-45,BQ-41
BG-46,BF-48,BG-43,BS-45,BQ-41
BH-46,BF-48,BG-43,BS-45,BQ-41
BI-46,BF-48,BL-45,BS-45,BQ-41
BJ-46,BF-48,BL-45,BS-45,BQ-41
BK-46,BF-48,BL-45,BS-45,BQ-41
BL-46,BF-48,BL-45,BS-45,BQ-41
BM-46,BS-44,BL-45,BS-45,BQ-41
BN-46,BS-44,BM-44,BS-45,BQ-41
BO-46,BS-44,BO-48,BS-45,BQ-41
BP-46,BS-44,BO-48,BS-45,BQ-41
BQ-46,BS-44,BO-48,BS-45,BQ-41
CH-46,CG-46,CG-42,BS-45,BQ-41
CI-46,CJ-48,CG-42,BS-45,BQ-41
CJ-46,CJ-48,CG-42,BS-45,BQ-41
CK-46,CM-46,CG-42,BS-45,BQ-41
CL-46,CM-46,CG-42,BS-45,BQ-41
AQ-45,AP-46,AR-43,BS-45,BQ-41
AR-45,AP-45,AR-43,BS-45,BQ-41
AS-45,AQ-47,AR-43,BS-45,BQ-41
AT-45,AP-45,AU-43,BS-45,BQ-41
AU-45,AQ-47,AU-43,BS-45,BQ-41
AV-45,AQ-47,AU-43,BS-45,BQ-41
AW-45,BB-48,AY-46,BS-45,BQ-41
AX-45,BB-48,AY-46,BS-45,BQ-41
AY-45,BB-48,AY-46,BS-45,BQ-41
AZ-45,BB-48,AZ-46,BS-45,BQ-41
BA-45,BB-48,AZ-46,BS-45,BQ-41
BB-45,BD-47,AZ-46,BS-45,BQ-41
BC-45,BD-47,AZ-46,BS-45,BQ-41
BD-45,BE-46,BG-43,BS-45,BQ-41
BE-45,BE-46,BG-43,BS-45,BQ-41
BF-45,BE-46,BG-43,BS-45,BQ-41
BG-45,BE-46,BG-43,BS-45,BQ-41
BH-45,BE-46,BG-43,BS-45,BQ-41
BI-45,BF-48,BL-45,BS-45,BQ-41
BJ-45,BE-46,BL-45,BS-45,BQ-41
BK-45,BF-48,BL-45,BS-45,BQ-41
BM-45,BS-44,BL-45,BS-45,BQ-41
BN-45,BS-44,BM-44,BS-45,BQ-41
BO-45,BS-44,BM-44,BS-45,BQ-41
BP-45,BS-44,BM-44,BS-45,BQ-41
BQ-45,BS-44,BO-48,BS-45,BQ-41
CG-45,CF-46,CG-42,BS-45,BQ-41
CH-45,CG-46,CG-42,BS-45,BQ-41
CI-45,CG-46,CG-42,BS-45,BQ-41
CJ-45,CM-45,CG-42,BS-45,BQ-41
CK-45,CM-45,CG-42,BS-45,BQ-41
CL-45,CM-45,CG-42,BS-45,BQ-41
AQ-44,AP-45,AR-43,BS-45,BQ-41
AR-44,AP-45,AR-43,BS-45,BQ-41
AS-44,AP-45,AR-43,BS-45,BQ-41
AT-44,AP-45,AU-43,BS-45,BQ-41
AU-44,AP-45,AU-43,BS-45,BQ-41
AV-44,AP-45,AU-43,BS-45,BQ-41
AW-44,BB-48,AU-43,BS-45,BQ-41
AX-44,BB-48,AY-46,BS-45,BQ-41
AY-44,BB-48,AZ-46,BS-45,BQ-41
AZ-44,BB-48,AZ-46,BS-45,BQ-41
BA-44,BB-48,AZ-46,BS-45,BQ-41
BB-44,BD-47,AZ-46,BS-45,BQ-41
BC-44,BE-46,AZ-46,BS-45,BQ-41
BD-44,BE-46,BG-43,BS-45,BQ-41
BE-44,BE-46,BG-43,BS-45,BQ-41
BF-44,BE-46,BG-43,BS-45,BQ-41
BG-44,BE-46,BG-43,BS-45,BQ-41
BH-44,BE-46,BG-43,BS-45,BQ-41
BI-44,BE-46,BG-43,BS-45,BQ-41
BJ-44,BE-46,BL-44,BS-45,BQ-41
BK-44,BF-48,BL-45,BS-45,BQ-41
BO-44,BS-44,BM-44,BS-45,BQ-41
BP-44,BS-44,BM-44,BS-45,BQ-41
BQ-44,BS-44,BM-44,BS-45,BQ-41
CG-44,CF-46,CG-42,BS-45,BQ-41
CH-44,CG-46,CG-42,BS-45,BQ-41
CI-44,CG-46,CG-42,BS-45,BQ-41
CJ-44,CM-44,CG-42,BS-45,BQ-41
CK-44,CM-44,CG-42,BS-45,BQ-41
CL-44,CM-44,CG-42,BS-45,BQ-41
AQ-43,AP-45,AR-43,BS-45,BQ-41
AS-43,AP-45,AR-43,BS-45,BQ-41
AV-43,AP-45,AU-43,BS-45,BQ-41
AW-43,BB-48,AU-43,BS-45,BQ-41
AX-43,BB-48,AU-43,BS-45,BQ-41
AY-43,BB-48,AZ-46,BS-45,BQ-41
AZ-43,BB-48,AZ-46,BS-45,BQ-41
BA-43,BD-47,AZ-46,BS-45,BQ-41
BB-43,BE-46,AZ-46,BS-45,BQ-41
BC-43,BE-46,BG-43,BS-45,BQ-41
BD-43,BE-46,BG-43,BS-45,BQ-41
BE-43,BE-46,BG-43,BS-45,BQ-41
BF-43,BE-46,BG-43,BS-45,BQ-41
BH-43,BE-46,BG-43,BS-45,BQ-41
BI-43,BE-46,BG-43,BS-45,BQ-41
BJ-43,BE-46,BK-41,BS-45,BQ-41
BL-43,BO-38,BL-44,BS-45,BQ-41
BM-43,BR-41,BL-44,BS-45,BQ-41
BN-43,BR-41,BM-44,BS-45,BQ-41
BO-43,BS-43,BM-44,BS-45,BQ-41
BP-43,BS-43,BM-44,BS-45,BQ-41
BQ-43,BS-43,BM-44,BS-45,BQ-41
BR-43,BS-43,BM-44,BS-45,BQ-41
CB-43,CA-43,CG-42,BS-45,BQ-41
CC-43,CA-43,CG-42,BS-45,BQ-41
CD-43,CA-43,CG-42,BS-45,BQ-41
CE-43,CE-45,CG-42,BS-45,BQ-41
CF-43,CE-45,CG-42,BS-45,BQ-41
CG-43,CF-46,CG-42,BS-45,BQ-41
CH-43,CF-46,CG-42,BS-45,BQ-41
CI-43,CG-46,CG-42,BS-45,BQ-41
CJ-43,CM-43,CG-42,BS-45,BQ-41
CK-43,CM-43,CG-42,BS-45,BQ-41
CL-43,CM-43,CG-42,BS-45,BQ-41
AT-42,AP-45,AT-43,BS-45,BQ-41
AU-42,AP-45,AT-43,BS-45,BQ-41
AV-42,AP-45,AU-43,BS-45,BQ-41
AW-42,AP-45,AU-43,BS-45,BQ-41
AX-42,BB-48,AU-43,BS-45,BQ-41
AY-42,BB-48,AZ-46,BS-45,BQ-41
AZ-42,BD-47,AZ-46,BS-45,BQ-41
BA-42,BD-47,AZ-46,BS-45,BQ-41
BB-42,BE-46,AZ-46,BS-45,BQ-41
BC-42,BE-46,BG-43,BS-45,BQ-41
BD-42,BE-46,BG-43,BS-45,BQ-41
BE-42,BE-46,BG-43,BS-45,BQ-41
BF-42,BE-46,BG-43,BS-45,BQ-41
BG-42,BE-46,BG-43,BS-45,BQ-41
BH-42,BE-46,BG-43,BS-45,BQ-41
BI-42,BE-46,BG-43,BS-45,BQ-41
BJ-42,BO-38,BK-41,BS-45,BQ-41
BK-42,BO-38,BL-42,BS-45,BQ-41
BM-42,BO-38,BL-42,BS-45,BQ-41
BN-42,BR-41,BL-42,BS-45,BQ-41
BO-42,BR-41,BM-44,BS-45,BQ-41
BQ-42,BS-42,BM-44,BS-45,BQ-41
